機関,職種/タイトル,勤務地,締切,タグ,対象外,URL
AIST,実装研究センターの公募概要,,,,,https://www.aist.go.jp/aist_j/humanres/02kenkyu/task.html#IRC
AIST,プロジェクト型任期付研究員（外部資金専従）,,,,,https://www.aist.go.jp/aist_j/humanres/02kenkyu/project.html
AIST,エネルギー・環境領域の公募概要,,,,,https://www.aist.go.jp/aist_j/humanres/02kenkyu/task_project.html#ENEENV
AIST,情報・人間工学領域の公募概要,,,,,https://www.aist.go.jp/aist_j/humanres/02kenkyu/task_project.html#ITHF
JAMSTEC(via JREC-IN),技術研究開発部門　船舶DX季節予測開発センター 季節予測モデル開発グループもしくは季節予測データ基盤開発グループ　特任主任研究員/特任副主任研究員/特任研究員/ポストドクトラル研究員　(KGM26-002）,,2026年07月28,,,https://jrecin.jst.go.jp/seek/SeekJorDetail?id=D126072227
JAMSTEC(via JREC-IN),物質地球科学研究部門　海底資源研究プログラム　臨時研究補助員　（BKR26-005）,,2026年07月28,,,https://jrecin.jst.go.jp/seek/SeekJorDetail?id=D126072208
JAMSTEC(via JREC-IN),変動海洋エコシステム高等研究所 AIMEC研究員もしくはAIMECポストドクトラル研究員　(WAM26-001),,2026年07月16,,,https://jrecin.jst.go.jp/seek/SeekJorDetail?id=D126070810
JAMSTEC(via JREC-IN),JAMSTEC Young Research Fellow (JYRF) 2027,,2026年07月06,,,https://jrecin.jst.go.jp/seek/SeekJorDetail?id=D126070353
JAMSTEC(via JREC-IN),地震火山研究部門 地球内部観測センター 地殻構造研究グループもしくは海洋底地球物理研究グループ 副主任研究員もしくは研究員（CKS26-001）,,2026年06月16,,,https://jrecin.jst.go.jp/seek/SeekJorDetail?id=D126051591
JAXA,【要確認】JAXAキャリア採用 (SNARポータル動的取得のため定期閲覧推奨),,随時 (掲載日順),,,https://jaxacareer.snar.jp/index.aspx
JREC-IN URA,ゲノム編集技術を活用したヒト・動物細胞研究員,,2026年07月27,,,https://jrecin.jst.go.jp/seek/SeekJorDetail?id=D126072172
JREC-IN URA / 国立研究開発法人情報通信研究機構,フロンティアサイエンス（バイオ系）研究活動の社会展開促進に係る支援業務(公募No.2026A-30）,,2026年07月21,,,https://jrecin.jst.go.jp/seek/SeekJorDetail?id=D126071581
JREC-IN URA / 国立研究開発法人情報通信研究機構,フロンティアサイエンス（デバイス系）研究活動の社会展開促進に係る支援業務 (公募No.2026A-29）,,2026年07月21,,,https://jrecin.jst.go.jp/seek/SeekJorDetail?id=D126071575
JREC-IN URA / 大阪大学,特任学術政策研究員(常勤)の公募（量子情報・量子生命研究センター）求人ID：NS05,,2026年07月27,,,https://jrecin.jst.go.jp/seek/SeekJorDetail?id=D126072085
JST,広報・アウトリーチ／科学コミュニケーション / ミュージアム専門員,東京都江東区,2026年08月26日,,,https://www.miraikan.jst.go.jp/aboutus/recruitment/20251204/
JST,IT・システム／サイエンスポータル・サイエンスティーム / 主任専門員・専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260717_portal.pdf
JST,IT・システム／researchmap / 主任専門員・専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260714_researchmap.pdf
JST,知的財産／権利化⽀援・特許相談（機械・情報通信分野） / 主任専⾨員・特許主任調査員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260709_chizai.pdf
