機関,職種/タイトル,勤務地,締切,タグ,対象外,URL
JST,ファンディング(プロジェクト管理等)／創発的研究支援事業　生命科学分野担当 / 主任専門員・専門員,東京都千代田区,随時,"URA/研究推進,ファンディング",,https://www.jst.go.jp/saiyou/pdf/bosyu260826_souhatsu03.pdf
JST,ファンディング(プロジェクト管理等)／創発的研究支援事業　有機化学・高分子化学分野担当 / 主任専門員・専門員,東京都千代田区,随時,"URA/研究推進,ファンディング",,https://www.jst.go.jp/saiyou/pdf/bosyu260826_souhatsu02.pdf
JST,ファンディング(プロジェクト管理等)／創発的研究支援事業　機械・電気工学分野担当 / 主任専門員・専門員,東京都千代田区,随時,"URA/研究推進,ファンディング",,https://www.jst.go.jp/saiyou/pdf/bosyu260826_souhatsu01.pdf
JST,ファンディング(プロジェクト管理等)／日本の科学技術を変える「研究開発マネジメント人材」 / 研究開発マネジメント専門員,東京都千代田区,2026年10月08日,"PO/PM系,ファンディング",,https://www.jst.go.jp/personnel/3rd-div/rdm/recruit.html
JST,ファンディング(プロジェクト管理等)／AI for Science革新的研究推進事業（ARiSE)情報分野 / 主任専門員・専門員,東京都千代田区,随時,"URA/研究推進,ファンディング",,https://www.jst.go.jp/saiyou/pdf/bosyu260907_arise.pdf
JST,ファンディング(プロジェクト管理等)／戦略的創造研究推進事業（ERATO）物理分野 / 主任専門員,東京都千代田区,随時,"URA/研究推進,ファンディング",,https://www.jst.go.jp/saiyou/pdf/bosyu260507_erato.pdf
JST,ファンディング(プロジェクト管理等)／戦略的創造研究推進事業（ERATO）ライフサイエンス分野 / 主任専門員・専門員,東京都千代田区,随時,"URA/研究推進,ファンディング",,https://www.jst.go.jp/saiyou/pdf/bosyu250422_erato01.pdf
JREC-IN URA,研究開発PM(リサーチャー出身者向け),,2026年09月24,PO/PM系,,https://jrecin.jst.go.jp/seek/SeekJorDetail?id=D126091619
JREC-IN URA / 【公募延長】千葉大学,【公募延長】千葉大学 未来医療教育研究機構 高度特定専門員（リサーチアドミニストレーター（URA））募集要項,,2026年09月16,URA/研究推進,,https://jrecin.jst.go.jp/seek/SeekJorDetail?id=D126091212
JREC-IN URA / 京都大学,特定専門業務職員（リサーチ・アドミニストレーター、URA）の募集（20名）【公募要項：研究プロモーション・企画推進】,,2026年09月24,URA/研究推進,,https://jrecin.jst.go.jp/seek/SeekJorDetail?id=D126091581
JREC-IN URA / 国立大学法人熊本大学,国立大学法人熊本大学　URA（職名：研究コーディネーター）【国際戦略系】の公募,,2026年09月11,URA/研究推進,,https://jrecin.jst.go.jp/seek/SeekJorDetail?id=D126090854
JREC-IN URA / 国立大学法人熊本大学,国立大学法人熊本大学　URA（職名：研究コーディネーター）【研究倫理系】の公募,,2026年09月11,URA/研究推進,,https://jrecin.jst.go.jp/seek/SeekJorDetail?id=D126090842
JREC-IN URA / 情報・システム研究機構,情報・システム研究機構戦略企画本部主任URAの公募,,2026年09月18,URA/研究推進,,https://jrecin.jst.go.jp/seek/SeekJorDetail?id=D126091403
JST,ファンディング(プロジェクト管理等)／さきがけ・CREST / 主任専門員・専門員,東京都千代田区,随時,ファンディング,,https://www.jst.go.jp/saiyou/pdf/bosyu260904_kisoke.pdf
JST,ファンディング(プロジェクト管理等)／ACT-X / 主任専門員・専門員,東京都千代田区,随時,ファンディング,,https://www.jst.go.jp/saiyou/pdf/bosyu260810_act-x.pdf
JST,知的財産／知財集約・活用（ライセンス担当材料系） / 主任専門員,東京都千代田区,随時,産学連携/技術移転,,https://www.jst.go.jp/saiyou/pdf/bosyu260724_chizai.pdf
JST,ファンディング(プロジェクト管理等)／CREST・さきがけ（化学、物性・材料、量子、デバイス等分野） / 主任専門員・専門員,東京都千代田区,随時,ファンディング,,https://www.jst.go.jp/saiyou/pdf/bosyu260616_kisoken.pdf
JST,ファンディング(プロジェクト管理等)／ムーンショット型研究開発事業（目標２） / 技術主幹,東京都千代田区,随時,ファンディング,,https://www.jst.go.jp/saiyou/pdf/bosyu260615_MS02.pdf
JST,ファンディング（プロジェクト管理等）／ムーンショット型研究開発事業（目標８） / 技術主幹,東京都千代田区,随時,ファンディング,,https://www.jst.go.jp/saiyou/pdf/bosyu260522_MS.pdf
JST,調査・分析・発表／CRDS調査・分析／AI for Science・研究基盤・産学連携 / フェロー,東京都千代田区,随時,産学連携/技術移転,,https://www.jst.go.jp/saiyou/pdf/bosyu260518_crds.pdf
JST,ファンディング(プロジェクト管理等)／「日ASEAN科学技術・イノベーション協働連携事業」(NEXUS) / 主任専門員・専門員,東京都千代田区,随時,ファンディング,,https://www.jst.go.jp/saiyou/pdf/bosyu260511_nexus.pdf
JST,ファンディング(プロジェクト管理等)／CRONOS / 主任専門員・専門員,東京都千代田区,随時,ファンディング,,https://www.jst.go.jp/saiyou/pdf/bosyu260130_cronos.pdf
JST,ファンディング(プロジェクト管理等)／科学コミュニケーション / 主任専門員・専門員,東京都江東区,随時,ファンディング,,https://www.miraikan.jst.go.jp/aboutus/recruitment/20260805/index.html
JST,広報・アウトリーチ／知財集約・活用（調達・発注担当） / 専門員,東京都千代田区,随時,産学連携/技術移転,,https://www.jst.go.jp/saiyou/pdf/bosyu260803_chizai.pdf
JST,ファンディング(プロジェクト管理等)／ムーンショット型研究開発事業（目標３） / 主任専門員・専門員,東京都千代田区,随時,ファンディング,,https://www.jst.go.jp/saiyou/pdf/bosyu260413_MS.pdf
AIST,パーマネント型研究員,,,,,https://www.aist.go.jp/aist_j/humanres/02kenkyu/tenured.html
AIST,カムバック採用（総合職・地域型・特定業務）,,,,,https://www.aist.go.jp/aist_j/humanres/comeback.html
AIST,エネルギー・環境領域の公募概要,,,,,https://www.aist.go.jp/aist_j/humanres/02kenkyu/task.html#ENEENV
AIST,生命工学領域の公募概要,,,,,https://www.aist.go.jp/aist_j/humanres/02kenkyu/task.html#LSBT
AIST,情報・人間工学領域の公募概要,,,,,https://www.aist.go.jp/aist_j/humanres/02kenkyu/task.html#ITHF
AIST,材料・化学領域の公募概要,,,,,https://www.aist.go.jp/aist_j/humanres/02kenkyu/task.html#MC
AIST,エレクトロニクス・製造領域の公募概要,,,,,https://www.aist.go.jp/aist_j/humanres/02kenkyu/task.html#ELMA
AIST,地質調査総合センターの公募概要,,,,,https://www.aist.go.jp/aist_j/humanres/02kenkyu/task.html#GSJ
AIST,計量標準総合センターの公募概要,,,,,https://www.aist.go.jp/aist_j/humanres/02kenkyu/task.html#NMIJ
AIST,量子・AI融合技術ビジネス開発グローバル研究センターの公募概要,,,,,https://www.aist.go.jp/aist_j/humanres/02kenkyu/task.html#G-Quat
AIST,実装研究センターの公募概要,,,,,https://www.aist.go.jp/aist_j/humanres/02kenkyu/task.html#IRC
AIST,プロジェクト型任期付研究員（外部資金専従）,,,,,https://www.aist.go.jp/aist_j/humanres/02kenkyu/project.html
AIST,エネルギー・環境領域の公募概要,,,,,https://www.aist.go.jp/aist_j/humanres/02kenkyu/task_project.html#ENEENV
AIST,情報・人間工学領域の公募概要,,,,,https://www.aist.go.jp/aist_j/humanres/02kenkyu/task_project.html#ITHF
JAMSTEC(via JREC-IN),千葉大学環境リモートセンシング研究センター特任研究員（AIを活用した季節内・季節予測モデルの研究開発）の公募について,,2026年08月31,,,https://jrecin.jst.go.jp/seek/SeekJorDetail?id=D126081375
JAXA,【要確認】JAXAキャリア採用 (SNARポータル動的取得のため定期閲覧推奨),,随時 (掲載日順),,,https://jaxacareer.snar.jp/index.aspx
JREC-IN URA,プロジェクトマネージャー,,2026年09月24,,,https://jrecin.jst.go.jp/seek/SeekJorDetail?id=D126091620
JREC-IN URA,研究員の公募（株開発業務・分析業務・培地研究業務）,,2026年09月14,,,https://jrecin.jst.go.jp/seek/SeekJorDetail?id=D126090998
JREC-IN URA / 国立健康危機管理研究機構,NDB・医療情報データ利活用支援研究員（非常勤）,,2026年09月17,,,https://jrecin.jst.go.jp/seek/SeekJorDetail?id=D126091290
JREC-IN URA / 長岡技術科学大学,長岡技術科学大学　学術情報流通コーディネーター（総合情報課）,,2026年09月11,,,https://jrecin.jst.go.jp/seek/SeekJorDetail?id=D126090875
JST,IT・システム／OAシステム / 主任専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260910_digital.pdf
JST,専門用語体系の整備及び文献DB品質管理／情報事業（医学分野担当） / 主任専門員・専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260908_jipsti.pdf
JST,知的財産／権利化支援・特許相談（化学分野） / 主任専門員・特許主任専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260901_chizai.pdf
JST,IT・システム／科学技術情報連携・流通促進事業（文献DB整備技術開発） / 主任専門員・専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260826_jipsti.pdf
JST,科学コミュニケーター／日本科学未来館 / 科学コミュニケーター,東京都江東区,2026年10月18日,,,https://www.miraikan.jst.go.jp/aboutus/recruitment/20260824/
JST,知的財産／権利化支援・特許相談（電気・電子分野） / 主任専門員・特許主任専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260821_chizai.pdf
JST,IT・システム／サイエンスポータル・サイエンスティーム / 主任専門員・専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260717_portal.pdf
JST,IT・システム／researchmap / 主任専門員・専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260714_researchmap.pdf
JST,知的財産／権利化⽀援・特許相談（機械・情報通信分野） / 主任専⾨員・特許主任調査員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260709_chizai.pdf
JST,科学の甲子園競技問題作成またはSSH支援／次世代人材育成事業 / 主任専門員,埼玉県川口市,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260501_risu.pdf
JST,知的財産／権利化支援・特許相談（バイオ分野） / 主任専門員・特許主任調査員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260415_chizai.pdf
JST,文献データベースの品質管理・索引用語辞書／科学技術情報連携・流通促進事業（無機化学分野） / 主任専門員・専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260408_johojigyou01.pdf
JST,IT・システム／デジタル改革統制部（システム内製・業務プロセス改善支援業務） / 専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260406_dejitaru01.pdf
JST,IT・システム／デジタル改革統制部（情報システム及び情報セキュリティ統制に関する業務） / 主任専門員・専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260402_dejitaru.pdf
JST,調査・分析・発表／CRDS（システム・情報科学技術分野） / フェロー,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260402_crds01.pdf
JST,調査・分析・発表／CRDS（ナノテクノロジー・材料分野） / フェロー,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260402_crds02.pdf
JST,CRDS調査・分析・発表／環境・エネルギー分野 / フェロー,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260121_crds.pdf
JST,CRDS調査・分析・発表／国内外の科学技術・イノベーション政策担当 / フェロー,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu251128_crds.pdf
JST,企画事務（事業を間接的に幅広くサポート）／LOTUSまたはY-tec / 主任専門員・専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260907_ssp.pdf
JST,法務コンプライアンス・契約／JST情報事業（海外契約担当） / 主任専門員・専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260831_jipsti.pdf
JST,研修プログラムの企画、運営、管理 / 主任専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260817_innov-jinzai.pdf
JST,広報・アウトリーチ／経済安全保障重要技術育成プログラム / 専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260807_k-program.pdf
JST,会計・経理／経済安全保障重要技術育成プログラム / 専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260709_k-program.pdf
JST,広報・アウトリーチ／科学技術情報連携・流通促進事業 / 専門員・主任専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260625_jstage.pdf
JST,広報・アウトリーチ／プレスリリース・報道対応担当 / 専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260526_koho.pdf
JST,情報システム内部監査 / 主任専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260427_kansa02.pdf
JST,法務コンプライアンス・契約／法務・コンプライアンス / 主任専門員・専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu250512_houmu.pdf
