機関,職種/タイトル,勤務地,締切,タグ,対象外,URL
AIST,材料・化学領域の公募概要,,,,,https://www.aist.go.jp/aist_j/humanres/02kenkyu/task.html#MC
AIST,エレクトロニクス・製造領域の公募概要,,,,,https://www.aist.go.jp/aist_j/humanres/02kenkyu/task.html#ELMA
AIST,地質調査総合センターの公募概要,,,,,https://www.aist.go.jp/aist_j/humanres/02kenkyu/task.html#GSJ
AIST,計量標準総合センターの公募概要,,,,,https://www.aist.go.jp/aist_j/humanres/02kenkyu/task.html#NMIJ
AIST,量子・AI融合技術ビジネス開発グローバル研究センターの公募概要,,,,,https://www.aist.go.jp/aist_j/humanres/02kenkyu/task.html#G-Quat
AIST,実装研究センターの公募概要,,,,,https://www.aist.go.jp/aist_j/humanres/02kenkyu/task.html#IRC
AIST,プロジェクト型任期付研究員（外部資金専従）,,,,,https://www.aist.go.jp/aist_j/humanres/02kenkyu/project.html
AIST,エネルギー・環境領域の公募概要,,,,,https://www.aist.go.jp/aist_j/humanres/02kenkyu/task_project.html#ENEENV
AIST,情報・人間工学領域の公募概要,,,,,https://www.aist.go.jp/aist_j/humanres/02kenkyu/task_project.html#ITHF
JAMSTEC(via JREC-IN),JAMSTEC リスタート支援公募,,2026年06月16,,,https://jrecin.jst.go.jp/seek/SeekJorDetail?id=D126051660
JAMSTEC(via JREC-IN),地震火山研究部門 地球内部観測センター 地殻構造研究グループもしくは海洋底地球物理研究グループ 副主任研究員もしくは研究員（CKS26-001）,,2026年06月16,,,https://jrecin.jst.go.jp/seek/SeekJorDetail?id=D126051591
JAMSTEC(via JREC-IN),技術職（高知コア研究所技術支援グループ）の公募,,2026年05月22,,,https://jrecin.jst.go.jp/seek/SeekJorDetail?id=D126051424
JAMSTEC(via JREC-IN),副主任研究員もしくは研究員（JECR2026）地球環境研究部門、地震火山研究部門、生命地球科学研究部門、物質地球科学研究部門、情報地球科学研究部門、技術研究開発部門,,2026年06月16,,,https://jrecin.jst.go.jp/seek/SeekJorDetail?id=D126051065
JAXA,【要確認】JAXAキャリア採用 (SNARポータル動的取得のため定期閲覧推奨),,随時 (掲載日順),,,https://jaxacareer.snar.jp/index.aspx
JREC-IN URA,データベース研究をリードする疫学者,,2026年07月01,,,https://jrecin.jst.go.jp/seek/SeekJorDetail?id=D126070067
JREC-IN URA / 国立研究開発法人理化学研究所,研究⽀援専⾨職（無期雇用職員）募集（26-698）(革新知能統合研究センター センター長室),,2026年07月01,,,https://jrecin.jst.go.jp/seek/SeekJorDetail?id=D126070058
JREC-IN URA / 大阪大学,大阪大学 経営企画オフィス IR部門　特任教員（常勤）／特任学術政策研究員（常勤）公募,,2026年07月02,,,https://jrecin.jst.go.jp/seek/SeekJorDetail?id=D126062433
JREC-IN URA / 自然科学研究機構,生命創成探究センター特任専門員の公募（研究力強化戦略室）,,2026年07月01,,,https://jrecin.jst.go.jp/seek/SeekJorDetail?id=D126070104
JST,科学の甲子園競技問題作成またはSSH支援／次世代人材育成事業 / 主任専門員,埼玉県川口市,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260501_risu.pdf
JST,IT・システム／研究人材のためのキャリア支援ポータルサイトJREC-IN Portal / 主任専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260501_jrecin.pdf
JST,知的財産／権利化支援・特許相談（バイオ分野） / 主任専門員・特許主任調査員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260415_chizai.pdf
JST,プレプリントサーバ運営／科学技術情報連携・流通促進事業 / 専門員・主任専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260409_jxiv.pdf
JST,文献データベースの品質管理・索引用語辞書／科学技術情報連携・流通促進事業（無機化学分野） / 主任専門員・専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260408_johojigyou01.pdf
JST,IT・システム／デジタル改革統制部（システム内製・業務プロセス改善支援業務） / 専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260406_dejitaru01.pdf
JST,IT・システム／デジタル改革統制部（情報システム及び情報セキュリティ統制に関する業務） / 主任専門員・専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260402_dejitaru.pdf
JST,調査・分析・発表／CRDS（システム・情報科学技術分野） / フェロー,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260402_crds01.pdf
JST,調査・分析・発表／CRDS（ナノテクノロジー・材料分野） / フェロー,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260402_crds02.pdf
JST,IT・システム／サイエンスポータル・サイエンスティーム / 主任専門員・専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260127_portal.pdf
JST,CRDS調査・分析・発表／環境・エネルギー分野 / フェロー,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260121_crds.pdf
JST,施設管理／総務課（施設管理業務） / 主任専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu251217_soumu.pdf
JST,CRDS調査・分析・発表／国内外の科学技術・イノベーション政策担当 / フェロー,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu251128_crds.pdf
JST,会計・経理／さくらサイエンスプログラム（公募プログラム） / 専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260702_ssp.pdf
JST,総務・人事労務／厚生担当 / 専門員,埼玉県川口市,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260629_jinzai.pdf
JST,広報・アウトリーチ／科学技術情報連携・流通促進事業 / 専門員・主任専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260625_jstage.pdf
JST,広報・アウトリーチ／プレスリリース・報道対応担当 / 専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260526_koho.pdf
JST,情報システム内部監査 / 主任専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260427_kansa02.pdf
JST,内部監査 / 主任専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260427_kansa01.pdf
JST,総務・人事労務／人事労務担当 / 専門員,埼玉県川口市,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260413_jinzai.pdf
JST,法務コンプライアンス・契約／JST情報事業（海外契約担当） / 主任専門員・専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260408_johojigyou02.pdf
JST,総務・人事労務／社会保険担当 / 専門員,埼玉県川口市,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260120_jinzai.pdf
JST,法務コンプライアンス・契約／法務・コンプライアンス / 主任専門員・専門員,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu250512_houmu.pdf
JST,調査・分析・発表／調査・分析担当 / フェロー,東京都千代田区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260305_aprc.pdf
JST,AIを活用したアクセシビリティ分野の研究活動 / 研究員（常勤）,東京都江東区,随時,,,https://www.miraikan.jst.go.jp/aboutus/recruitment/20210324/
JST,AIを活用したアクセシビリティ分野の研究活動 / 研究員（非常勤）,東京都江東区,随時,,,https://www.miraikan.jst.go.jp/aboutus/recruitment/20210302/
JST,経理・契約・IT等／適性・経験等により業務や配属先を決定 / 専門員,埼玉県川口市または東京都千代田区または東京都江東区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260406_challenged02.pdf
JST,データ入力、資料作成、電話対応等／適性・経験等により業務や配属先を決定 / 事務員,埼玉県川口市または東京都千代田区または東京都江東区,随時,,,https://www.jst.go.jp/saiyou/pdf/bosyu260406_challenged01.pdf
NEDO,特定任期付職員（専門調査員） - 募集要項,,,,,https://www.nedo.go.jp/saiyou/ZZAB_00068.html
NEDO,一般任期付職員（事務職員） - 募集要項,,,,,https://www.nedo.go.jp/saiyou/ZZAB_00069.html
NICT,有期一般職,,,,,https://www.nict.go.jp/employment/yuuki-ippan.html#有期一般職
NICT,2026A-4,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-4.pdf
NICT,2026A-17,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-17.pdf
NICT,2026A-18,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-18.pdf
NICT,2026A-28,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-28.pdf
NICT,2026A-29,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-29.pdf
NICT,2026A-30,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-30.pdf
NICT,2026A-31,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-31.pdf
NICT,2026A-34,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-34.pdf
NICT,2026A-36,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-36.pdf
NICT,2026A-59,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-59.pdf
NICT,2026A-60,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-60.pdf
NICT,2026A-70,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-70.pdf
NICT,2026A-71,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-71.pdf
NICT,2026A-72,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-72.pdf
NICT,2026A-75,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-75.pdf
NICT,2026A-76,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-76.pdf
NICT,2026A-87,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-87.pdf
NICT,2026A-90,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-90.pdf
NICT,2026A-97,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-97.pdf
NICT,2026A-101,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-101.pdf
NICT,2026A-106,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-106.pdf
NICT,2026A-117,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-117.pdf
NICT,2026A-120,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-120.pdf
NICT,2026A-121,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-121.pdf
NICT,2026A-126,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-126.pdf
NICT,2026A-135,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-135.pdf
NICT,2026A-143,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-143.pdf
NICT,2026A-145,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-145.pdf
NICT,2026A-147,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-147.pdf
NICT,2026A-151,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-151.pdf
NICT,2026A-155,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-155.pdf
NICT,2026A-156,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-156.pdf
NICT,2026A-157,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-157.pdf
NICT,2026A-158,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-158.pdf
NICT,2026A-159,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-159.pdf
NICT,2026A-161,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-161.pdf
NICT,2026A-165,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-165.pdf
NICT,2026A-167,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-167.pdf
NICT,2026A-168,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-168.pdf
NICT,2026A-160,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-160.pdf
NICT,2026A-162,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-162.pdf
NICT,2026A-163,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-163.pdf
NICT,2026A-164,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-164.pdf
NICT,2026A-166,,,,,https://www2.nict.go.jp/employment/tempstaffinfo/admin/saishin/2026A-166.pdf
理研,理化学研究所 - 2026年度 理研ECL研究チームリーダー/ユニットリーダー公募,埼玉県和光市 茨城県つくば市 東京都 神奈川県横浜市 兵庫県神戸市 その他,2026年7月16日,,,https://www.riken.jp/careers/programs/riken_ecl/call2026/index.html
理研,理化学研究所 事務部門および業務支援室 - 事務職員（障がい者）募集,埼玉県和光市 神奈川県横浜市 兵庫県神戸市,2026年7月31日、2026年9月30日,,,https://www.riken.jp/careers/admin/20260420/index.html
理研,開拓研究所 川口生体非平衡物理学研究室 - テクニカルスタッフⅠまたはⅡ募集（26-741） (PI: 主任研究員: 川口 喬吾),埼玉県和光市,ポストが決まり次第,,,https://www.riken.jp/careers/researchers/20260626_2/index.html
JST,ファンディング(プロジェクト管理等)／博士学生支援事業 / 専門員,東京都千代田区,随時,ファンディング,○,https://www.jst.go.jp/saiyou/pdf/bosyu260615_jisedai.pdf
JST,企画事務（契約・経理担当）／日ASEAN科学技術・イノベーション協働連携事業若手人材交流プログラム / 専門員,東京都千代田区,随時,,○,https://www.jst.go.jp/saiyou/pdf/bosyu260626_nexus.pdf
理研,計算科学研究センター AI for Scienceプラットフォーム部門 次世代AIデバイス開発研究ユニット - 研究員または特別研究員募集（26-759） (PI: ユニットリーダー: 佐野 健太郎),兵庫県神戸市,ポストが決まり次第,,○,https://www.riken.jp/careers/researchers/20260630_3/index.html
理研,量子コンピュータ研究センター 冷却原子量子システム研究チーム - 研究パートタイマーⅠまたはⅡ募集（26-565） (PI: チームディレクター: DE LESELEUC Sylvain),埼玉県和光市,ポストが決まり次第,,○,https://www.riken.jp/careers/researchers/20260630_2/index.html
理研,生命機能科学研究センター 発生エピジェネティクス研究チーム - 特別研究員またはリサーチ・アソシエイト募集（26-780） (PI: チームディレクター: 平谷 伊智朗),兵庫県神戸市,ポストが決まり次第,,○,https://www.riken.jp/careers/researchers/20260630_1/index.html
理研,生命機能科学研究センター マルチモーダルAI基盤技術研究チーム - パートタイマー募集（26-599） (PI: チームディレクター：小島 諒介),兵庫県神戸市,ポストが決まり次第,,○,https://www.riken.jp/careers/researchers/20260629_1/index.html
理研,開拓研究所 川口生体非平衡物理学研究室 - 研究員または特別研究員募集（26-740） (PI: 主任研究員: 川口 喬吾),埼玉県和光市,ポストが決まり次第,,○,https://www.riken.jp/careers/researchers/20260626_1/index.html
